NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REGULATION OF MACROAUTOPHAGY%GOBP%GO:0016241	162	143		
DIAPEDESIS%GOBP%GO:0050904	2		Rejected!	
NERVOUS SYSTEM PROCESS%GOBP%GO:0050877	745		Rejected!	
GPI ANCHOR BIOSYNTHETIC PROCESS%GOBP%GO:0006506	30	28		
MATERNAL-TO-ZYGOTIC TRANSITION OF GENE EXPRESSION%GOBP%GO:0160021	3		Rejected!	
REGULATION OF MICROVILLUS ORGANIZATION%GOBP%GO:0032530	9		Rejected!	
NK T CELL ACTIVATION%GOBP%GO:0051132	1		Rejected!	
MITOTIC SPINDLE DISASSEMBLY%GOBP%GO:0051228	2		Rejected!	
TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY%GOBP%GO:0034134	6		Rejected!	
PLANAR CELL POLARITY PATHWAY INVOLVED IN NEURAL TUBE CLOSURE%GOBP%GO:0090179	4		Rejected!	
PROTEIN DEGLYCATION%GOBP%GO:0036525	2		Rejected!	
CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL DIFFERENTIATION%GOBP%GO:0002361	2		Rejected!	
NEGATIVE REGULATION OF MITOPHAGY%GOBP%GO:1901525	2		Rejected!	
HEART GROWTH%GOBP%GO:0060419	11		Rejected!	
MEIOTIC DNA RECOMBINASE ASSEMBLY%GOBP%GO:0000707	1		Rejected!	
LYSOSOME ORGANIZATION%GOBP%GO:0007040	90	75		
REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS TO FIBROBLAST GROWTH FACTOR%GOBP%GO:2000544	6		Rejected!	
TELOMERASE RNA STABILIZATION%GOBP%GO:0090669	4		Rejected!	
NEGATIVE REGULATION OF BILE ACID BIOSYNTHETIC PROCESS%GOBP%GO:0070858	2		Rejected!	
NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009165	213	163		
MITOCHONDRION MIGRATION ALONG ACTIN FILAMENT%GOBP%GO:0034642	1		Rejected!	
PROTEINOGENIC AMINO ACID METABOLIC PROCESS%GOBP%GO:0170039	108	73		
RESPONSE TO DNA INTEGRITY CHECKPOINT SIGNALING%GOBP%GO:0072402	6		Rejected!	
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061098	27	20		
RESPONSE TO COCAINE%GOBP%GO:0042220	7		Rejected!	
ACETATE ESTER TRANSPORT%GOBP%GO:1901374	4		Rejected!	
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY%GOBP%GO:0045954	23	19		
REGULATION OF POLYSACCHARIDE BIOSYNTHETIC PROCESS%GOBP%GO:0032885	32	25		
REGULATION OF G0 TO G1 TRANSITION%GOBP%GO:0070316	34	30		
GLOMERULAR MESANGIUM DEVELOPMENT%GOBP%GO:0072109	5		Rejected!	
L-GLUTAMATE IMPORT%GOBP%GO:0051938	17		Rejected!	
RESPONSE TO HYDROGEN PEROXIDE%GOBP%GO:0042542	45	39		
REGULATION OF PRIMARY MIRNA PROCESSING%GOBP%GO:2000634	5		Rejected!	
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO LYSOSOME%GOBP%GO:0150032	3		Rejected!	
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	254	163		
CELL-CELL SIGNALING BY WNT%GOBP%GO:0198738	105	78		
MEDIUM-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0051791	15		Rejected!	
NEGATIVE REGULATION OF MALE GONAD DEVELOPMENT%GOBP%GO:2000019	1		Rejected!	
METHIONYL-TRNA AMINOACYLATION%GOBP%GO:0006431	2		Rejected!	
PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523	79	63		
RESPONSE TO CHLOROQUINE%GOBP%GO:1902349	1		Rejected!	
POSITIVE REGULATION OF T-CIRCLE FORMATION%GOBP%GO:1904431	3		Rejected!	
CORNIFIED ENVELOPE ASSEMBLY%GOBP%GO:1903575	4		Rejected!	
POSITIVE REGULATION OF RESPONSE TO TYPE II INTERFERON%GOBP%GO:0060332	4		Rejected!	
PROPIONYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:1902860	1		Rejected!	
PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524	103	76		
PEPTIDYL-GLUTAMIC ACID MODIFICATION%GOBP%GO:0018200	20		Rejected!	
REGULATION OF CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0006109	130	100		
MEMBRANE DEPOLARIZATION%GOBP%GO:0051899	43	17		
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND%GOBP%GO:0071407	277	193		
REGULATION OF MESODERMAL CELL FATE SPECIFICATION%GOBP%GO:0042661	3		Rejected!	
PROTEIN LOCALIZATION TO NUCLEAR INNER MEMBRANE%GOBP%GO:0036228	3		Rejected!	
PROTOPORPHYRINOGEN IX METABOLIC PROCESS%GOBP%GO:0046501	2		Rejected!	
WALKING BEHAVIOR%GOBP%GO:0090659	3		Rejected!	
RESPONSE TO HYPOXIA%GOBP%GO:0001666	139	104		
AXONEMAL CENTRAL APPARATUS ASSEMBLY%GOBP%GO:1904158	6		Rejected!	
LATERAL MESODERM MORPHOGENESIS%GOBP%GO:0048369	1		Rejected!	
POSITIVE REGULATION OF SMAD PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0060391	35	23		
TORC1 COMPLEX ASSEMBLY%GOBP%GO:1905669	1		Rejected!	
LIPOPROTEIN LOCALIZATION%GOBP%GO:0044872	14		Rejected!	
MYOFIBROBLAST DIFFERENTIATION%GOBP%GO:0036446	2		Rejected!	
CHROMOSOME PASSENGER COMPLEX LOCALIZATION TO SPINDLE MIDZONE%GOBP%GO:0035853	1		Rejected!	
POSTNATAL OLFACTORY BULB INTERNEURON MIGRATION%GOBP%GO:0021827	2		Rejected!	
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584	1894		Rejected!	
REGULATION OF MACROPHAGE APOPTOTIC PROCESS%GOBP%GO:2000109	6		Rejected!	
REGULATION OF PROTEIN PROCESSING INVOLVED IN PROTEIN TARGETING TO MITOCHONDRION%GOBP%GO:1903216	1		Rejected!	
NEGATIVE REGULATION OF LIPID TRANSPORTER ACTIVITY%GOBP%GO:0110114	1		Rejected!	
PURINE RIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009154	63	50		
CELL MOTILITY%GOBP%GO:0048870	795		Rejected!	
NEURAL CREST FORMATION%GOBP%GO:0014029	11		Rejected!	
NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819	31	28		
TRANSLATIONAL ATTENUATION%GOBP%GO:0009386	2		Rejected!	
NUCLEOLAR CHROMATIN ORGANIZATION%GOBP%GO:1990700	8		Rejected!	
REGULATION OF VITAMIN D 24-HYDROXYLASE ACTIVITY%GOBP%GO:0010979	3		Rejected!	
REGULATION OF CYTOPLASMIC TRANSLATIONAL ELONGATION%GOBP%GO:1900247	2		Rejected!	
POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION%GOBP%GO:0007204	118	70		
ENTEROENDOCRINE CELL DIFFERENTIATION%GOBP%GO:0035883	13		Rejected!	
RESPONSE TO AXON INJURY%GOBP%GO:0048678	20		Rejected!	
PHOSPHATE ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0035435	11		Rejected!	
PSEUDOPODIUM ORGANIZATION%GOBP%GO:0031268	3		Rejected!	
REGULATION OF DOPAMINE BIOSYNTHETIC PROCESS%GOBP%GO:1903179	2		Rejected!	
REGULATION OF ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0032956	284		Rejected!	
REGULATION OF INTERLEUKIN-33 PRODUCTION%GOBP%GO:0150127	1		Rejected!	
MONONUCLEAR CELL DIFFERENTIATION%GOBP%GO:1903131	197	152		
POSITIVE REGULATION OF PROTEIN CATABOLIC PROCESS IN THE VACUOLE%GOBP%GO:1904352	6		Rejected!	
DOPAMINERGIC NEURON AXON GUIDANCE%GOBP%GO:0036514	6		Rejected!	
MYOTUBE DIFFERENTIATION%GOBP%GO:0014902	39	23		
NEGATIVE REGULATION OF DENDRITIC CELL APOPTOTIC PROCESS%GOBP%GO:2000669	7		Rejected!	
POSITIVE REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1904018	127	90		
NEGATIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0042059	23	19		
JNK CASCADE%GOBP%GO:0007254	30	25		
POSITIVE REGULATION OF MAINTENANCE OF SISTER CHROMATID COHESION%GOBP%GO:0034093	6		Rejected!	
PYRIMIDINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009209	5		Rejected!	
POSITIVE REGULATION OF STRAND INVASION%GOBP%GO:0098530	1		Rejected!	
CELLULAR MODIFIED AMINO ACID CATABOLIC PROCESS%GOBP%GO:0042219	26	15		
NEGATIVE REGULATION OF TROPHOBLAST CELL MIGRATION%GOBP%GO:1901164	6		Rejected!	
REGULATION OF TRANSLATION IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:0036490	9		Rejected!	
POSITIVE REGULATION OF AUTOPHAGY%GOBP%GO:0010508	146	126		
T FOLLICULAR HELPER CELL DIFFERENTIATION%GOBP%GO:0061470	4		Rejected!	
CHONDROCYTE PROLIFERATION%GOBP%GO:0035988	5		Rejected!	
EMBRYONIC PROCESS INVOLVED IN FEMALE PREGNANCY%GOBP%GO:0060136	2		Rejected!	
SPHINGOSINE METABOLIC PROCESS%GOBP%GO:0006670	20	15		
PEPTIDYL-GLUTAMATE ADP-DERIBOSYLATION%GOBP%GO:0140291	3		Rejected!	
SECRETORY GRANULE LOCALIZATION%GOBP%GO:0032252	10		Rejected!	
REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS%GOBP%GO:2001026	21		Rejected!	
HEPATOCYTE PROLIFERATION%GOBP%GO:0072574	4		Rejected!	
TRIGLYCERIDE ACYL-CHAIN REMODELING%GOBP%GO:0036153	1		Rejected!	
REGULATION OF BLOOD VESSEL REMODELING%GOBP%GO:0060312	6		Rejected!	
GLYCOPHAGY%GOBP%GO:0061723	10		Rejected!	
MATURATION OF SSU-RRNA%GOBP%GO:0030490	46	43		
INOSINE CATABOLIC PROCESS%GOBP%GO:0006148	2		Rejected!	
REGULATION OF GLUTAMATE METABOLIC PROCESS%GOBP%GO:2000211	2		Rejected!	
UTERUS MORPHOGENESIS%GOBP%GO:0061038	2		Rejected!	
POSITIVE REGULATION OF ADIPOSE TISSUE DEVELOPMENT%GOBP%GO:1904179	8		Rejected!	
REGULATION OF MIRNA-MEDIATED GENE SILENCING%GOBP%GO:0060964	20	15		
POSITIVE REGULATION OF BLEB ASSEMBLY%GOBP%GO:1904172	2		Rejected!	
PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105	87	79		
REGULATION OF NEUROGENESIS%GOBP%GO:0050767	220	142		
NEGATIVE REGULATION OF GROWTH%GOBP%GO:0045926	173	115		
POSITIVE REGULATION OF ORGANIC ACID TRANSPORT%GOBP%GO:0032892	22		Rejected!	
NEGATIVE REGULATION OF PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0031953	8		Rejected!	
NEGATIVE REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002581	3		Rejected!	
NEGATIVE REGULATION OF AXON EXTENSION INVOLVED IN REGENERATION%GOBP%GO:0048692	1		Rejected!	
SYMBIONT INTRACELLULAR PROTEIN TRANSPORT IN HOST%GOBP%GO:0030581	2		Rejected!	
NEGATIVE REGULATION OF CELL VOLUME%GOBP%GO:0045794	5		Rejected!	
MEIOTIC DNA DOUBLE-STRAND BREAK PROCESSING%GOBP%GO:0000706	2		Rejected!	
MANNOSYLATION%GOBP%GO:0097502	18		Rejected!	
ACROSOME ASSEMBLY%GOBP%GO:0001675	23		Rejected!	
CELLULAR RESPONSE TO TUMOR CELL%GOBP%GO:0071228	4		Rejected!	
REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL APOPTOTIC PROCESS%GOBP%GO:1905459	7		Rejected!	
REGULATION OF MAINTENANCE OF MITOTIC SISTER CHROMATID COHESION%GOBP%GO:0034182	9		Rejected!	
CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0060402	10		Rejected!	
NEGATIVE REGULATION OF NITRIC OXIDE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0010751	1		Rejected!	
NEGATIVE REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1905268	5		Rejected!	
NEGATIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:1901380	18		Rejected!	
ATRIAL SEPTUM PRIMUM MORPHOGENESIS%GOBP%GO:0003289	4		Rejected!	
ISOLEUCINE METABOLIC PROCESS%GOBP%GO:0006549	6		Rejected!	
REGULATION OF GLUCOCORTICOID BIOSYNTHETIC PROCESS%GOBP%GO:0031946	7		Rejected!	
NEGATIVE REGULATION OF GONAD DEVELOPMENT%GOBP%GO:1905940	2		Rejected!	
POSITIVE REGULATION OF T CELL EXTRAVASATION%GOBP%GO:2000409	2		Rejected!	
REGULATION OF TRANSLATIONAL INITIATION BY TRNA MODIFICATION%GOBP%GO:1990983	1		Rejected!	
UTERUS DEVELOPMENT%GOBP%GO:0060065	6		Rejected!	
NEGATIVE REGULATION OF GROWTH HORMONE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0060400	3		Rejected!	
NEUROBLAST DIVISION IN SUBVENTRICULAR ZONE%GOBP%GO:0021849	3		Rejected!	
AMPA GLUTAMATE RECEPTOR CLUSTERING%GOBP%GO:0097113	4		Rejected!	
MRNA SPLICE SITE RECOGNITION%GOBP%GO:0006376	30	24		
REGULATION OF TRNA CATABOLIC PROCESS%GOBP%GO:1902370	3		Rejected!	
VASCULAR TRANSPORT%GOBP%GO:0010232	86	59		
L-ALPHA-AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1902475	44	28		
RIBOFLAVIN TRANSPORT%GOBP%GO:0032218	4		Rejected!	
PERIPHERAL NERVOUS SYSTEM NEURON DIFFERENTIATION%GOBP%GO:0048934	6		Rejected!	
AMINO ACID METABOLIC PROCESS%GOBP%GO:0006520	235	153		
POST-TRANSCRIPTIONAL TETHERING OF RNA POLYMERASE II GENE DNA AT NUCLEAR PERIPHERY%GOBP%GO:0000973	3		Rejected!	
INTERLEUKIN-15-MEDIATED SIGNALING PATHWAY%GOBP%GO:0035723	11		Rejected!	
HEXADECANAL METABOLIC PROCESS%GOBP%GO:0046458	1		Rejected!	
HEME EXPORT%GOBP%GO:0097037	2		Rejected!	
POSITIVE REGULATION OF STEM CELL DIFFERENTIATION%GOBP%GO:2000738	18		Rejected!	
POSITIVE REGULATION OF NEUTROPHIL ACTIVATION%GOBP%GO:1902565	1		Rejected!	
POSITIVE REGULATION OF SKELETAL MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048643	10		Rejected!	
PEPTIDYL-SERINE OCTANOYLATION%GOBP%GO:0018191	1		Rejected!	
REGULATION OF CYTOKINESIS%GOBP%GO:0032465	88	71		
FARNESYL DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0045338	5		Rejected!	
GLUCONEOGENESIS%GOBP%GO:0006094	33	24		
MITOTIC SPINDLE ASSEMBLY%GOBP%GO:0090307	47	42		
POSITIVE REGULATION OF HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0010726	4		Rejected!	
ARGININE CATABOLIC PROCESS TO ORNITHINE%GOBP%GO:0019547	2		Rejected!	
VESICLE DOCKING INVOLVED IN EXOCYTOSIS%GOBP%GO:0006904	37	30		
POLYOL BIOSYNTHETIC PROCESS%GOBP%GO:0046173	36	30		
GDP METABOLIC PROCESS%GOBP%GO:0046710	2		Rejected!	
KETONE BODY METABOLIC PROCESS%GOBP%GO:1902224	6		Rejected!	
GLUTAMINE TRANSPORT%GOBP%GO:0006868	9		Rejected!	
POSITIVE REGULATION OF STRESS GRANULE ASSEMBLY%GOBP%GO:0062029	4		Rejected!	
POSITIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046635	54	47		
PROTEIN MATURATION BY IRON-SULFUR CLUSTER TRANSFER%GOBP%GO:0097428	16		Rejected!	
REGULATION OF MESENCHYMAL CELL PROLIFERATION%GOBP%GO:0010464	15		Rejected!	
REGULATION OF EOSINOPHIL MIGRATION%GOBP%GO:2000416	4		Rejected!	
PROTEIN LOCALIZATION TO CLEAVAGE FURROW%GOBP%GO:1905345	2		Rejected!	
REGULATION OF GROWTH RATE%GOBP%GO:0040009	3		Rejected!	
TELOMERE MAINTENANCE VIA TELOMERE TRIMMING%GOBP%GO:0090737	11		Rejected!	
REGULATION OF SPERM CAPACITATION%GOBP%GO:1902490	6		Rejected!	
REGULATION OF CELL FATE SPECIFICATION%GOBP%GO:0042659	19		Rejected!	
REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002580	5		Rejected!	
REGULATION OF MITOCHONDRIAL FISSION%GOBP%GO:0090140	28	20		
KININ CASCADE%GOBP%GO:0002254	2		Rejected!	
FATTY ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006633	94	63		
REGULATION OF TELOMERE CAPPING%GOBP%GO:1904353	25	24		
GRANZYME-MEDIATED APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0008626	1		Rejected!	
EPITHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:1904019	11		Rejected!	
NEGATIVE REGULATION OF METANEPHRIC COMMA-SHAPED BODY MORPHOGENESIS%GOBP%GO:2000007	1		Rejected!	
PHOSPHOLIPASE C-ACTIVATING SEROTONIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007208	2		Rejected!	
MEDULLARY RETICULAR FORMATION DEVELOPMENT%GOBP%GO:0021723	1		Rejected!	
SUPRAMOLECULAR FIBER ORGANIZATION%GOBP%GO:0097435	531		Rejected!	
VITAMIN B6 TRANSPORT%GOBP%GO:0031919	3		Rejected!	
CALCIUM ION TRANSMEMBRANE IMPORT INTO CYTOSOL%GOBP%GO:0097553	81	48		
POSITIVE REGULATION OF INTERLEUKIN-4 PRODUCTION%GOBP%GO:0032753	19	18		
POSITIVE REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035307	41	36		
POSITIVE REGULATION OF NEURON PROJECTION REGENERATION%GOBP%GO:0070572	4		Rejected!	
OTIC PLACODE DEVELOPMENT%GOBP%GO:1905040	1		Rejected!	
NEUTROPHIL MEDIATED CYTOTOXICITY%GOBP%GO:0070942	5		Rejected!	
MESENCHYMAL CELL PROLIFERATION INVOLVED IN URETERIC BUD DEVELOPMENT%GOBP%GO:0072138	2		Rejected!	
LEUKOTRIENE A4 METABOLIC PROCESS%GOBP%GO:1901751	2		Rejected!	
PROTEIN-DNA COMPLEX DISASSEMBLY%GOBP%GO:0032986	21	18		
OLFACTORY BEHAVIOR%GOBP%GO:0042048	2		Rejected!	
AROMATIC AMINO ACID METABOLIC PROCESS%GOBP%GO:0009072	24		Rejected!	
KINETOCHORE ASSEMBLY%GOBP%GO:0051382	11		Rejected!	
NEGATIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL APOPTOTIC PROCESS%GOBP%GO:1905460	2		Rejected!	
MITOCHONDRIAL THREONYL-TRNA AMINOACYLATION%GOBP%GO:0070159	1		Rejected!	
VENTRICULAR CARDIAC MYOFIBRIL ASSEMBLY%GOBP%GO:0055005	2		Rejected!	
NEGATIVE REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0031333	110	88		
POSITIVE REGULATION OF PRO-T CELL DIFFERENTIATION%GOBP%GO:2000176	1		Rejected!	
NEGATIVE REGULATION OF CALCIUM ION EXPORT ACROSS PLASMA MEMBRANE%GOBP%GO:1905913	2		Rejected!	
GLUTATHIONE TRANSPORT%GOBP%GO:0034635	6		Rejected!	
RNA DESTABILIZATION%GOBP%GO:0050779	81	71		
HETEROTRIMERIC G-PROTEIN COMPLEX ASSEMBLY%GOBP%GO:1902605	1		Rejected!	
POSITIVE REGULATION OF TERMINATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0060566	2		Rejected!	
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902531	1493		Rejected!	
NEGATIVE REGULATION OF PROTEIN K63-LINKED UBIQUITINATION%GOBP%GO:1900045	4		Rejected!	
METANEPHRIC PART OF URETERIC BUD DEVELOPMENT%GOBP%GO:0035502	2		Rejected!	
POSITIVE REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902745	32	26		
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CELL CORTEX%GOBP%GO:1904778	5		Rejected!	
CELLULAR ANATOMICAL ENTITY MORPHOGENESIS%GOBP%GO:0032989	420		Rejected!	
LIPOXYGENASE PATHWAY%GOBP%GO:0019372	9		Rejected!	
CENTRAL NERVOUS SYSTEM PROJECTION NEURON AXONOGENESIS%GOBP%GO:0021952	14		Rejected!	
NEGATIVE REGULATION OF ERAD PATHWAY%GOBP%GO:1904293	7		Rejected!	
NEGATIVE REGULATION OF NOREPINEPHRINE UPTAKE%GOBP%GO:0051622	1		Rejected!	
POSITIVE REGULATION OF BRANCHING INVOLVED IN URETERIC BUD MORPHOGENESIS%GOBP%GO:0090190	12		Rejected!	
POSITIVE REGULATION OF PROTEIN LOCALIZATION%GOBP%GO:1903829	368		Rejected!	
THREONINE METABOLIC PROCESS%GOBP%GO:0006566	3		Rejected!	
RESPONSE TO ESTRADIOL%GOBP%GO:0032355	32	17		
NEGATIVE REGULATION OF CALCIUM-DEPENDENT CELL-CELL ADHESION%GOBP%GO:0046588	1		Rejected!	
NEGATIVE REGULATION OF CHAPERONE-MEDIATED PROTEIN FOLDING%GOBP%GO:1903645	2		Rejected!	
SULFATE TRANSPORT%GOBP%GO:0008272	12		Rejected!	
REGULATION OF SYNAPTIC VESICLE EXOCYTOSIS%GOBP%GO:2000300	20		Rejected!	
PROTEIN LOCALIZATION TO PHAGOPHORE ASSEMBLY SITE%GOBP%GO:0034497	14		Rejected!	
EYE PIGMENT METABOLIC PROCESS%GOBP%GO:0042441	2		Rejected!	
PTERIDINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0042560	5		Rejected!	
ENDOPLASMIC RETICULUM CALCIUM ION HOMEOSTASIS%GOBP%GO:0032469	21	18		
REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001932	731		Rejected!	
REGULATION OF XENOPHAGY%GOBP%GO:1904415	4		Rejected!	
MIRNA PROCESSING%GOBP%GO:0035196	33	27		
FATTY ACID HOMEOSTASIS%GOBP%GO:0055089	11		Rejected!	
CEREBELLAR PURKINJE CELL LAYER FORMATION%GOBP%GO:0021694	5		Rejected!	
CELLULAR RESPONSE TO GLYOXAL%GOBP%GO:0036471	1		Rejected!	
GASTRULATION WITH MOUTH FORMING SECOND%GOBP%GO:0001702	9		Rejected!	
CELLULAR RESPONSE TO FOLLICLE-STIMULATING HORMONE STIMULUS%GOBP%GO:0071372	2		Rejected!	
LEUKOCYTE ADHESION TO ARTERIAL ENDOTHELIAL CELL%GOBP%GO:0061757	1		Rejected!	
REGULATION OF DNA BIOSYNTHETIC PROCESS%GOBP%GO:2000278	104	93		
NEGATIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010558	1673		Rejected!	
RESPONSE TO PEPTIDOGLYCAN%GOBP%GO:0032494	7		Rejected!	
NEGATIVE REGULATION OF SMOOTH MUSCLE CELL-MATRIX ADHESION%GOBP%GO:2000098	2		Rejected!	
XENOBIOTIC GLUCURONIDATION%GOBP%GO:0052697	7		Rejected!	
ESTABLISHMENT OF MITOTIC SPINDLE ORIENTATION%GOBP%GO:0000132	30	25		
POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR CYCLE%GOBP%GO:0099630	1		Rejected!	
HEXOSE IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0140271	6		Rejected!	
LYMPHATIC ENDOTHELIAL CELL MIGRATION%GOBP%GO:1904977	1		Rejected!	
N-TERMINAL PEPTIDYL-PROLINE METHYLATION%GOBP%GO:0035568	1		Rejected!	
DEPYRIMIDINATION%GOBP%GO:0045008	8		Rejected!	
NEGATIVE REGULATION OF MACROAUTOPHAGY%GOBP%GO:0016242	25	24		
GLYCOPROTEIN CATABOLIC PROCESS%GOBP%GO:0006516	26	18		
POSITIVE REGULATION OF ERK5 CASCADE%GOBP%GO:0070378	2		Rejected!	
NEGATIVE REGULATION OF T CELL COSTIMULATION%GOBP%GO:2000524	3		Rejected!	
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	19	18		
REGULATION OF DEVELOPMENTAL PIGMENTATION%GOBP%GO:0048070	6		Rejected!	
PROTEIN LOCALIZATION TO CENP-A CONTAINING CHROMATIN%GOBP%GO:0061644	4		Rejected!	
RESPONSE TO LINOLEIC ACID%GOBP%GO:0070543	1		Rejected!	
SENSORY ORGAN BOUNDARY SPECIFICATION%GOBP%GO:0008052	1		Rejected!	
KETONE CATABOLIC PROCESS%GOBP%GO:0042182	7		Rejected!	
GALACTOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0019375	6		Rejected!	
BASOPHIL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002276	2		Rejected!	
BRADYKININ CATABOLIC PROCESS%GOBP%GO:0010815	6		Rejected!	
ENDOTHELIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0086100	8		Rejected!	
POSITIVE REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:1905710	21	19		
NEGATIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CONTRACTION%GOBP%GO:1904694	2		Rejected!	
REGULATION OF RESPONSE TO NUTRIENT LEVELS%GOBP%GO:0032107	25		Rejected!	
DAMP METABOLIC PROCESS%GOBP%GO:0046053	3		Rejected!	
ARGININOSUCCINATE METABOLIC PROCESS%GOBP%GO:0000053	1		Rejected!	
NEGATIVE REGULATION OF PROTEIN UBIQUITINATION%GOBP%GO:0031397	69	61		
REGULATION OF HYPOXIA-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1903297	4		Rejected!	
INORGANIC DIPHOSPHATE TRANSPORT%GOBP%GO:0030505	2		Rejected!	
CEREBROSPINAL FLUID SECRETION%GOBP%GO:0033326	1		Rejected!	
POSITIVE REGULATION OF WHITE FAT CELL PROLIFERATION%GOBP%GO:0070352	1		Rejected!	
SMALL GTPASE-MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0007264	191	157		
ION CHANNEL MODULATING, G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0099105	1		Rejected!	
POSITIVE REGULATION OF GLIAL CELL MIGRATION%GOBP%GO:1903977	8		Rejected!	
REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY DIRECTED AGAINST TUMOR CELL TARGET%GOBP%GO:0002858	8		Rejected!	
EPITHELIAL CILIUM MOVEMENT INVOLVED IN EXTRACELLULAR FLUID MOVEMENT%GOBP%GO:0003351	22		Rejected!	
RESPONSE TO RADIATION%GOBP%GO:0009314	294		Rejected!	
METANEPHRIC GLOMERULAR MESANGIUM DEVELOPMENT%GOBP%GO:0072223	3		Rejected!	
